0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.723,0.455,0.441,0.003,0.066
0.743,0.443,0.475,0.083,0.016
0.705,0.458,0.523,0.054,0.096
0.748,0.509,0.454,0.0,0.057
0.711,0.465,0.442,0.055,0.092
0.694,0.454,0.511,0.087,0.014
0.757,0.457,0.43,0.055,0.048
0.684,0.521,0.511,0.073,0.034
0.741,0.432,0.483,0.097,0.024
0.7,0.469,0.473,0.048,0.013
0.745,0.475,0.495,0.056,0.083
0.76,0.434,0.517,0.098,0.05
0.69,0.52,0.453,0.032,0.065
0.773,0.435,0.452,0.092,0.024
0.756,0.457,0.473,0.028,0.005
0.724,0.469,0.479,0.001,0.075
0.718,0.424,0.485,0.007,0.044
0.732,0.462,0.472,0.008,0.059
0.725,0.489,0.449,0.041,0.054
0.723,0.429,0.498,0.084,0.077
0.764,0.434,0.483,0.079,0.086
0.049,0.356,0.913,0.021,0.047
0.046,0.37,0.966,0.059,0.077
0.015,0.343,0.957,0.023,0.039
0.029,0.42,0.93,0.032,0.048
0.015,0.407,0.971,0.022,0.083
0.019,0.401,0.923,0.086,0.04
0.0,0.363,0.888,0.077,0.076
0.0,0.381,0.931,0.052,0.066
0.047,0.352,0.918,0.02,0.015
0.05,0.402,0.899,0.047,0.054
0.0,0.374,0.887,0.09,0.063
0.0,0.416,0.887,0.068,0.078
0.0,0.347,0.885,0.027,0.038
0.05,0.425,0.961,0.03,0.048
0.026,0.394,0.887,0.022,0.085
0.043,0.379,0.888,0.047,0.09
0.048,0.366,0.908,0.036,0.027
0.0,0.421,0.915,0.081,0.075
0.001,0.413,0.901,0.06,0.033
0.035,0.425,0.915,0.038,0.092
0.0,0.35,0.89,0.085,0.08
0.023,0.349,0.963,0.053,0.087
0.0,0.363,0.899,0.067,0.021
0.029,0.381,0.949,0.028,0.061
0.0,0.43,0.924,0.026,0.033
0.0,0.348,0.956,0.055,0.073
0.0,0.418,0.933,0.071,0.021
0.0,0.424,0.935,0.084,0.004
0.0,0.43,0.882,0.002,0.042
0.026,0.372,0.921,0.086,0.028
